Data source,Ecoinvent process OR other names,Unit,Reference quantity,,"cumulative energy demand:biomass:renewable energy resources, biomass","cumulative energy demand:fossil:non-renewable energy resources, fossil","cumulative energy demand:geothermal:renewable energy resources, geothermal, converted","cumulative energy demand:nuclear:non-renewable energy resources, nuclear","cumulative energy demand:primary forest:non-renewable energy resources, primary forest","cumulative energy demand:solar:renewable energy resources, solar, converted","cumulative energy demand:water:renewable energy resources, potential (in barrage water), converted","cumulative energy demand:wind:renewable energy resources, kinetic (in wind), converted","cumulative energy demand:renewable:total renewables (wind, solar, water, geothermal, biomass)","cumulative energy demand:non-renewable:total non-renewables (fossil, nuclear, primary forest)",IPCC 2013:climate change:GWP 100a,ReCiPe Midpoint (H) V1.13:agricultural land occupation:ALOP,ReCiPe Midpoint (H) V1.13:climate change:GWP100,ReCiPe Midpoint (H) V1.13:fossil depletion:FDP,ReCiPe Midpoint (H) V1.13:freshwater ecotoxicity:FETPinf,ReCiPe Midpoint (H) V1.13:freshwater eutrophication:FEP,ReCiPe Midpoint (H) V1.13:human toxicity:HTPinf,ReCiPe Midpoint (H) V1.13:ionising radiation:IRP_HE,ReCiPe Midpoint (H) V1.13:marine ecotoxicity:METPinf,ReCiPe Midpoint (H) V1.13:marine eutrophication:MEP,ReCiPe Midpoint (H) V1.13:metal depletion:MDP,ReCiPe Midpoint (H) V1.13:natural land transformation:NLTP,ReCiPe Midpoint (H) V1.13:ozone depletion:ODPinf,ReCiPe Midpoint (H) V1.13:particulate matter formation:PMFP,ReCiPe Midpoint (H) V1.13:photochemical oxidant formation:POFP,ReCiPe Midpoint (H) V1.13:terrestrial acidification:TAP100,ReCiPe Midpoint (H) V1.13:terrestrial ecotoxicity:TETPinf,ReCiPe Midpoint (H) V1.13:urban land occupation:ULOP,ReCiPe Midpoint (H) V1.13:water depletion:WDP,CML 2001 (obsolete):land use:competition
,,,,,MJ-Eq,MJ-Eq,MJ-Eq,MJ-Eq,MJ-Eq,MJ-Eq,MJ-Eq,MJ-Eq,MJ-Eq,MJ-Eq,kg CO2-Eq,m2a,kg CO2-Eq,kg oil-Eq,"kg 1,4-DC.",kg P-Eq,"kg 1,4-DC.",kg U235-Eq,"kg 1,4-DB.",kg N-Eq,kg Fe-Eq,m2,kg CFC-11.,kg PM10-Eq,kg NMVOC-.,kg SO2-Eq,"kg 1,4-DC.",m2a,m3 water-.,m2a
RIVM_2016,"Lamsvlees > 10 g vet, [NL], ReCiPe, RIVM_2016",kg,1,,,,,,,,,,,,79.2,118,79.2,,,1.83E+00,,,,2.26E-02,,,,,,3.01,,,0.14,
RIVM_2016,"Runder- baklappen, [NL], ReCiPe, RIVM_2016",kg,1,,,,,,,,,,,,45.6,53.7,45.6,,,5.00E-01,,,,9.55E-03,,,,,,1.11,,,1.03,
RIVM_2016,"Runder- biefstuk, [NL], ReCiPe, RIVM_2016",kg,1,,,,,,,,,,,,44.7,53.7,44.7,,,5.00E-01,,,,9.55E-03,,,,,,1.11,,,1.03,
RIVM_2016,"Hamburger, [NL], ReCiPe, RIVM_2016",kg,1,,,,,,,,,,,,24.6,24.2,24.6,,,2.51E-01,,,,4.52E-03,,,,,,0.585,,,0.409,
RIVM_2016,"Gehakt, rund, [NL], ReCiPe, RIVM_2016",kg,1,,,,,,,,,,,,24.3,23.5,24.3,,,2.50E-01,,,,4.41E-03,,,,,,0.584,,,0.412,
RIVM_2016,"Runderrosbief, [NL], ReCiPe, RIVM_2016",kg,1,,,,,,,,,,,,23.8,23.8,23.8,,,2.51E-01,,,,4.47E-03,,,,,,0.583,,,0.432,
RIVM_2016,"Runderrookvlees, [NL], ReCiPe, RIVM_2016",kg,1,,,,,,,,,,,,21.3,20.9,21.3,,,2.23E-01,,,,3.92E-03,,,,,,0.519,,,0.367,
RIVM_2016,"Worst, ossen-, [NL], ReCiPe, RIVM_2016",kg,1,,,,,,,,,,,,18.6,18.2,18.6,,,1.93E-01,,,,3.40E-03,,,,,,0.451,,,0.318,
RIVM_2016,"Gehakt, half-om-half, [NL], ReCiPe, RIVM_2016",kg,1,,,,,,,,,,,,17.2,16.1,17.2,,,1.54E-01,,,,2.85E-03,,,,,,0.383,,,0.237,
